profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Barbara Abramczyk,,adiunkt posiadający st. nauk. dr,,,0000-0001-5071-5491,57192878255,,,,,,,0.0,0.0,3559,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3559?obiektId=Osoby,
Małgorzata Abramek,,pracownik pomocniczy,,,,,,,,,,,0.0,0.0,2357,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2357?obiektId=Osoby,
Marcin Abramek,,inspektor nadzoru inwestorskiego,,,,,,,,,,,0.0,0.0,3316,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3316?obiektId=Osoby,
Beata Abramowicz,,adiunkt posiadający st. nauk. dr hab.,,,0000-0003-4801-3073,23975571400,,,,,,,1765.0,86.0,555,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/555?obiektId=Osoby,
Kamil Adamczak,,pracownik gospodarczy,,,,,,,,,,,0.0,0.0,3642,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3642?obiektId=Osoby,
Małgorzata Adamczuk,,Profesor uczelni,,,0000-0003-3599-2006,35197858500,,,,,,,2639.0,62.0,566,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/566?obiektId=Osoby,
Agnieszka Adamczuk,,,,,,,,,,,,,655.0,17.0,921,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/921?obiektId=Osoby,
Kamila Adamczyk-Mucha,,adiunkt posiadający st. nauk. dr,,,,,,,,,,,0.0,0.0,3285,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3285?obiektId=Osoby,
Łukasz Adamek,,,,,,,,,,,,,770.0,87.0,1119,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1119?obiektId=Osoby,
Agnieszka Adamek,,starszy specjalista,,,,,,,,,,,0.0,0.0,2358,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2358?obiektId=Osoby,
